row_index,fixture_id,kind,content_sha256,duplicate_ordinal,text_empty
94,real-control_correct-d2716747c59bfdd8-001,control_correct,d2716747c59bfdd89f9053d341a22f16f7974432d5c9c062ff7a04ed941307a7,1,false
95,real-truncated-a1cc1d1204da2de1-001,truncated,a1cc1d1204da2de1dfedd02f8af9918e2e6f4a652aea1567a98e7be7a92978b7,1,false
96,real-truncated-8ccb63cb04064591-001,truncated,8ccb63cb04064591efbc4a2fab92f0c64076a087be0bf15ef83d8646e0060c83,1,false
97,real-truncated-ef7b1a56c6749a3f-001,truncated,ef7b1a56c6749a3f7d4f11702d8d821c51f4e172a79e97ec68cdc8bb8ee73ee5,1,false
98,real-control_correct-62093781aed9b537-001,control_correct,62093781aed9b5371f67884db5e129366f29d9940aa5de8a08fc3f9225c43700,1,false
99,real-control_correct-b286790a32a1fbe8-001,control_correct,b286790a32a1fbe8534253f724a0812ce44bc1f8c8ded25ce41e09aa18798bce,1,false
100,real-truncated-4d3201f20fa1bbd7-001,truncated,4d3201f20fa1bbd7b9037840d53f6e3a5585ca8f670d01f81b986c996e345c27,1,false
101,real-truncated-268a568ac4786f87-001,truncated,268a568ac4786f87b8f794f4339766c5423ae77e7737c73774a533ec66d961c1,1,false
102,real-truncated-fe7eed6c63be702d-001,truncated,fe7eed6c63be702db8d199fde000a256b70f1cf5bc19524d1b96bc37c2a127c3,1,false
103,real-truncated-e730046d14071b1b-001,truncated,e730046d14071b1bfa89ea87e7f08b23a84a496edbc6666cd23608f045956287,1,false
104,real-truncated-22d120ff2613fb3c-001,truncated,22d120ff2613fb3c00f8338d79143800cda6a2b22bc53139f56db53fcdef0cf5,1,false
105,real-truncated-44a1889a65c89a98-001,truncated,44a1889a65c89a9865d908e9c2725d00a2fb5fac88d6a537ec0ec73f2701a0e4,1,false
106,real-truncated-3044f9e5b658cf47-001,truncated,3044f9e5b658cf4741fd414dd67176e9580dbb58e17cebb7d30bb199ba7a73d0,1,false
107,real-truncated-9dba0a611623ccce-001,truncated,9dba0a611623ccced6e26ca9284f89181fa5da22082b1fbe95098e04fab38da6,1,false
108,real-control_correct-d18b4c82b12f0306-001,control_correct,d18b4c82b12f0306b20f53dccf2a270144a8a0c4360bf7938df53b2d2e0ddf6d,1,false
109,real-control_correct-96dfc10499a820c6-001,control_correct,96dfc10499a820c620411dd84ea5413b22918d29e79e673705f06f4135500814,1,false
110,real-truncated-56ad692d3950a6ae-001,truncated,56ad692d3950a6ae19ad9fe9114a99d0d9f0f4b8dce6fb89f9271b5c781acf7f,1,false
111,real-truncated-6279f7b6b01ea2e2-001,truncated,6279f7b6b01ea2e261fdc1a929400436acd816c7c5df93c0ab517a9e0dd7273e,1,false
112,real-truncated-210fbcf5ff0f49e9-001,truncated,210fbcf5ff0f49e93ec24ac1d9d1ed09b3f1b1a88e997e8480ec9372ac96a412,1,false
113,real-control_correct-3ec3306f5f7bc543-001,control_correct,3ec3306f5f7bc543b801493d920c22396d1b557fc343d03c8db5d092a0b19c5c,1,false
114,real-control_correct-337848c60cd45f12-001,control_correct,337848c60cd45f12c4ebf86a6eec7c36eb82a5e52d64294b4cde7dc95187145f,1,false
115,real-truncated-8b88e292ba1b4c5c-001,truncated,8b88e292ba1b4c5c87f63a56837b83c5b4302dc42159659adb416f0d67346946,1,false
116,real-truncated-bc0e37aef7f95216-001,truncated,bc0e37aef7f952163e9465820481ce665f4a608c70d24c9d50b3f9ea50479873,1,false
117,real-truncated-af0577d51fd778a1-001,truncated,af0577d51fd778a16a85cf35dd6859a9fc45b3ba55b41e61a706f7bf7b3a3fc5,1,false
118,real-truncated-8ee42cd3eba12ec6-001,truncated,8ee42cd3eba12ec6c63525c97403723d6abac3200e140c24bdfc15e09971f25c,1,false
119,real-control_correct-8494ad4e58faefe9-001,control_correct,8494ad4e58faefe9de1fbd1f4f515bdc261c538158d25c132a2e1e05950e2002,1,false
120,real-control_correct-0f0941eab1767f38-001,control_correct,0f0941eab1767f3866afd088c9e653fa1d11e0fd398202f4390ad6c0067e148a,1,false
121,real-truncated-11779f2fc604d057-001,truncated,11779f2fc604d05774cdfcc33776d20ae7bebf70878092a051771f884f54a5be,1,false
122,real-truncated-eface0049132e97d-001,truncated,eface0049132e97de99850fedacbf0b9220603a54f9c6d8b2e5e07adf4ec23d1,1,false
123,real-truncated-5713bc6fb1dfa8d0-001,truncated,5713bc6fb1dfa8d0fa19923133e4786bedc25b2f412a2eb92b7d1cd22e57f602,1,false
124,real-truncated-505bc873a129bcd1-001,truncated,505bc873a129bcd154d7bd2d19198cd39772d4e2a50a1f77d78a6320ee1a5a06,1,false
125,real-truncated-6853bba8299795d5-001,truncated,6853bba8299795d50f29de59323e2abc6616d84b7ce1d9d103f301570b8551e6,1,false
126,real-truncated-20f1e0708a19abc4-001,truncated,20f1e0708a19abc41f143706f8422613b43151c4d2024bf3ff425913481c87ab,1,false
127,real-truncated-6e4eb7af77ed2ff8-001,truncated,6e4eb7af77ed2ff8fc49bcfd48a21e3515f178f317d9a41731756a58cf0c02ee,1,false
128,real-truncated-8ea28fa7707b3025-001,truncated,8ea28fa7707b30253c62d3c6f12f0e225ad9e2052c12f312087f72576b19f4f7,1,false
129,real-control_correct-beea208faf3d4bf4-001,control_correct,beea208faf3d4bf4392482c9490cc1ab829175e6df72e01bc534a69be3f1983c,1,false
130,real-control_correct-49c6c44114b703fb-001,control_correct,49c6c44114b703fb9063cca4c0fabf5c4d731afdadf41cb90e31411a6c68c3a1,1,false
131,real-truncated-d8eeb7b64dd7015a-001,truncated,d8eeb7b64dd7015ad748f647d58e8a9be8389560d9bbe529fecadc6118a83c53,1,false
132,real-control_correct-7e4dcc5a2d2dc94f-001,control_correct,7e4dcc5a2d2dc94f8b56c72d112abf0af0a874b807202c0e41ad5c4dc69e7e72,1,false
133,real-control_correct-f3c4bd0f7b512e57-001,control_correct,f3c4bd0f7b512e5789fd18a82bf6669c6504253dd239b0433e4047be872bc0d3,1,false
134,real-truncated-fb10e3776314a519-001,truncated,fb10e3776314a519b1f4fa9fa470e3357664b7c37188c9d15d88938258cce2ca,1,false
135,real-truncated-ccd8a323f6c2b744-001,truncated,ccd8a323f6c2b7443632d6f1786c757c4eef9222128f3bf83eeff3f186ff3fe4,1,false
136,real-truncated-1828f5a31563f6e3-001,truncated,1828f5a31563f6e38cbc9b723d4434879ef070b7b077f9002ce448202e790222,1,false
137,real-truncated-a5460d50cb8daafc-001,truncated,a5460d50cb8daafcd62040e4e0191d19b947d9ab05e1b1931729d07c1cded055,1,false
138,real-truncated-e7536ddc4697865a-001,truncated,e7536ddc4697865a44d3055bcef75a127881080734b82bef17ab1d7efe9b8a99,1,false
139,real-truncated-3b6b5e2e07c8adab-001,truncated,3b6b5e2e07c8adabd0397647d65b6886a8248f68062eaf8cb5d6ac8a7219ce8f,1,false
140,real-truncated-45fd9dd0b16def99-001,truncated,45fd9dd0b16def99b1646fbbd0299a1131cf0552f5a5f9f686ff8ba55f37842d,1,false
141,real-truncated-390931de8b8a68ae-001,truncated,390931de8b8a68ae93da37965a787e0ca2cb82adca18a6439015f8325e079b11,1,false
142,real-control_correct-77dca34ea2834915-001,control_correct,77dca34ea28349158475a6e975f0351b8e72bc50ca35392ea4614894944ff12b,1,false
143,real-control_correct-f61d7cc8e44486cd-001,control_correct,f61d7cc8e44486cdfb516b9c0ace45269082304667c5c77df381e5f01edf9e8e,1,false
144,real-truncated-23c7087e22382c85-001,truncated,23c7087e22382c85dcb53b9aaa5a1531e5aae56c5a5368ed6398aa9a6ccc56f4,1,false
145,real-truncated-740acaaa5658c524-001,truncated,740acaaa5658c5242384b5814f28515b194b2a0a983348e437771a1ae9dae275,1,false
146,real-truncated-e6a7555e64fb1fc8-001,truncated,e6a7555e64fb1fc8ab9d0ae13a74a9e76e83d5dd38043ebf1e5166fe42fdf63a,1,false
147,real-truncated-d4aec9cd22f44d16-001,truncated,d4aec9cd22f44d163e1a7478744242e89031ce2852a86b2285bf06df21ae2c7b,1,false
148,real-truncated-4ea3c98b3c90e29e-001,truncated,4ea3c98b3c90e29e454895d56fdd4df0a42c55c9b61e5f615eecc9a58a614404,1,false
149,real-truncated-f9eaa5fd29415a58-001,truncated,f9eaa5fd29415a585e773c2456f646fc88df45a28654a8208d239276fe8fd51f,1,false
150,real-truncated-85c7b95581c097ef-001,truncated,85c7b95581c097ef2c30b4bd852581f8df459444da9e97f1a538d0a49482e0b7,1,false
151,real-truncated-aa1b94cca1993363-001,truncated,aa1b94cca19933633273f18136d891579d8a272383cd2c14287d834d35b2bf45,1,false
152,real-control_correct-83db8adebe9798de-001,control_correct,83db8adebe9798deb987a66602b7682c386669cd2bd26357b752043695a49ed0,1,false
153,real-control_correct-b745903bf49608cc-001,control_correct,b745903bf49608cc5a043066c715d23e1c730b5ca943af6202fe32ff3ac71e80,1,false
154,real-truncated-6ee8443d1d436cf6-001,truncated,6ee8443d1d436cf665de5b3bfe96878a8416b1fa6692c882e4fba9afba49726f,1,false
155,real-truncated-6ee8443d1d436cf6-002,truncated,6ee8443d1d436cf665de5b3bfe96878a8416b1fa6692c882e4fba9afba49726f,2,false
156,real-truncated-6ee8443d1d436cf6-003,truncated,6ee8443d1d436cf665de5b3bfe96878a8416b1fa6692c882e4fba9afba49726f,3,false
157,real-truncated-5281b3506686a184-001,truncated,5281b3506686a184ffc0adfc98c1af31e6d95d835e29b83fc6d99f890d40d359,1,false
158,real-truncated-5281b3506686a184-002,truncated,5281b3506686a184ffc0adfc98c1af31e6d95d835e29b83fc6d99f890d40d359,2,false
159,real-truncated-5281b3506686a184-003,truncated,5281b3506686a184ffc0adfc98c1af31e6d95d835e29b83fc6d99f890d40d359,3,false
160,real-control_correct-2c758d44ca541778-001,control_correct,2c758d44ca54177893156b4bc91dadbf8fcce8bb5644c65416a16012f6497483,1,false
161,real-control_correct-4a3fdef251946148-001,control_correct,4a3fdef25194614879d182b137d8f0a611f13bf5fb81766cceeb26fc2c5ee404,1,false
162,real-truncated-abb81d1b8c4db67a-001,truncated,abb81d1b8c4db67a50dd709501596f1668db2b69af649b876f2f58ff3d7092f7,1,false
163,real-truncated-a79daf5eab47793c-001,truncated,a79daf5eab47793c5702ae66790f08f6453e2e98a6ca81204a03bbea2d28e4b4,1,false
164,real-truncated-16277ed40a76d930-001,truncated,16277ed40a76d9308cbc6ace54a8f216c9685d4db40afd1b7dfb617066e1d1a3,1,false
165,real-truncated-e4e046aee036728b-001,truncated,e4e046aee036728bfdebf5387141c4fc2fe8c3dfdf06b03d3439edb80c426dc0,1,false
166,real-truncated-6dd1f374f6ed08df-001,truncated,6dd1f374f6ed08df84951e7ada0f263aad9176983fbe6a50a98637727a3b0992,1,false
167,real-truncated-0d2658ccd619147a-001,truncated,0d2658ccd619147a54593970d74898eb03bee6edb2eda0d3864129d8035a9167,1,false
168,real-truncated-74696bb1b2b136e8-001,truncated,74696bb1b2b136e88004c20b586db54e3aeb18910d81e81fde9a71b278eeeb3a,1,false
169,real-truncated-fdfa2be691dea487-001,truncated,fdfa2be691dea487004faa5c089f98c0fee29ba4bb22131be892c029ac5ae1e4,1,false
170,real-control_correct-0ec44c79139c33e2-001,control_correct,0ec44c79139c33e27b14216a2593b0c23e851980300db84ff3d175cae35c7d6c,1,false
171,real-control_correct-81b17ec6e1a7d1a8-001,control_correct,81b17ec6e1a7d1a8d5d750fd7493c4715e1954cf368dfe2695e45147a6e6e95a,1,false
172,real-truncated-075bf5961ff00993-001,truncated,075bf5961ff009939ed732e812715744269c5743c2c56e429fe85f1a8f1610ac,1,true
173,real-truncated-075bf5961ff00993-002,truncated,075bf5961ff009939ed732e812715744269c5743c2c56e429fe85f1a8f1610ac,2,true
174,real-truncated-17eebdd1a966e5f0-001,truncated,17eebdd1a966e5f010e5d6b2247deef7e365790d23603c8612419db2854c00ba,1,true
175,real-truncated-a4bb63b5ba4a773e-001,truncated,a4bb63b5ba4a773e6e12e09a05b750fb0707f84c8d1c61cd6178baacfa4c5c20,1,true
176,real-truncated-a4bb63b5ba4a773e-002,truncated,a4bb63b5ba4a773e6e12e09a05b750fb0707f84c8d1c61cd6178baacfa4c5c20,2,true
177,real-truncated-a4bb63b5ba4a773e-003,truncated,a4bb63b5ba4a773e6e12e09a05b750fb0707f84c8d1c61cd6178baacfa4c5c20,3,true
178,real-control_correct-0e5f87e242720bf2-001,control_correct,0e5f87e242720bf2de7ebd57149ade9f938e8074df4d81048ec1c6cc558c16c2,1,false
179,real-control_correct-593135bb2de509c3-001,control_correct,593135bb2de509c35d7ed004ae70cb08805ba403257ba09ff248a70922d6e65e,1,false
180,real-truncated-355520fb8f2104ec-001,truncated,355520fb8f2104ec2ad9e2b91522ff3b87993f5aa7b321444f9c970ef8a1bdff,1,false
181,real-control_correct-c56c011273c6c234-001,control_correct,c56c011273c6c234e4caf971cec01eb10ba14e3c01ab7e97ada00b81ce559029,1,false
182,real-control_correct-29005d671726f869-001,control_correct,29005d671726f869040e58bb43bb83fee6e1a774706567d54d560f1048bcb929,1,false
183,real-truncated-49565e194413328d-001,truncated,49565e194413328d2732e3afa9a75242519feef907dd216eed46324411673d60,1,false
184,real-truncated-85f19c1e57445cde-001,truncated,85f19c1e57445cde5ac6b7a61536d1426df56ccda56b548f99face0d47c8ceed,1,false
185,real-truncated-bd836ccf84464689-001,truncated,bd836ccf84464689b8105d9cdc59bc2da471780676df8778a2cc8d166adb3915,1,false
186,real-truncated-b881db2f3106d76e-001,truncated,b881db2f3106d76e0ac6bfb5ac7ebb509a796b2d8f2f1967c87b36280bffbfc5,1,false
187,real-control_correct-67c0cfb485b8e0e1-001,control_correct,67c0cfb485b8e0e1302db89d4a7e2f9319d371092add1ad24b08fffa51cd8936,1,false
188,real-control_correct-afc87305e9694a73-001,control_correct,afc87305e9694a73d975795ffcc53f120fcd87c68a077fe6cc6fd4964a99045e,1,false
