target,pipeline_id,pipeline_status,metric,stratum,numerator,denominator,percent,metric_status
helm,math_chain_of_thought,ok,answer_is_numeric_pct,synthetic,0,0,,not_applicable
helm,math_chain_of_thought,ok,control_pass_pct,control,28,28,100.000000,ok
inspect_ai,gsm8k_numeric_match,control_disqualified,answer_returned_after_truncation_pct,real,37,48,77.083333,ok
inspect_ai,gsm8k_numeric_match,control_disqualified,crash_pct,real,0,48,0.000000,ok
inspect_ai,gsm8k_numeric_match,control_disqualified,swallowed_error_pct,real,,,,not_measured
inspect_ai,gsm8k_numeric_match,control_disqualified,accidental_correct_pct,real,0,48,0.000000,ok
inspect_ai,gsm8k_numeric_match,control_disqualified,answer_is_numeric_pct,real,37,37,100.000000,ok
inspect_ai,gsm8k_numeric_match,control_disqualified,answer_returned_after_truncation_pct,real_pre_answer,6,6,100.000000,ok
inspect_ai,gsm8k_numeric_match,control_disqualified,crash_pct,real_pre_answer,0,6,0.000000,ok
inspect_ai,gsm8k_numeric_match,control_disqualified,swallowed_error_pct,real_pre_answer,,,,not_measured
inspect_ai,gsm8k_numeric_match,control_disqualified,accidental_correct_pct,real_pre_answer,0,6,0.000000,ok
inspect_ai,gsm8k_numeric_match,control_disqualified,answer_is_numeric_pct,real_pre_answer,6,6,100.000000,ok
inspect_ai,gsm8k_numeric_match,control_disqualified,answer_returned_after_truncation_pct,real_no_pre_answer,31,42,73.809524,ok
inspect_ai,gsm8k_numeric_match,control_disqualified,crash_pct,real_no_pre_answer,0,42,0.000000,ok
inspect_ai,gsm8k_numeric_match,control_disqualified,swallowed_error_pct,real_no_pre_answer,,,,not_measured
inspect_ai,gsm8k_numeric_match,control_disqualified,accidental_correct_pct,real_no_pre_answer,0,42,0.000000,ok
inspect_ai,gsm8k_numeric_match,control_disqualified,answer_is_numeric_pct,real_no_pre_answer,31,31,100.000000,ok
inspect_ai,gsm8k_numeric_match,control_disqualified,answer_returned_after_truncation_pct,synthetic,100,100,100.000000,ok
inspect_ai,gsm8k_numeric_match,control_disqualified,crash_pct,synthetic,0,100,0.000000,ok
inspect_ai,gsm8k_numeric_match,control_disqualified,swallowed_error_pct,synthetic,,,,not_measured
inspect_ai,gsm8k_numeric_match,control_disqualified,accidental_correct_pct,synthetic,40,100,40.000000,ok
inspect_ai,gsm8k_numeric_match,control_disqualified,answer_is_numeric_pct,synthetic,100,100,100.000000,ok
inspect_ai,gsm8k_numeric_match,control_disqualified,control_pass_pct,control,24,28,85.714286,ok
inspect_evals,aime_last_line_numeric,insufficient_power,answer_returned_after_truncation_pct,real,0,7,0.000000,ok
inspect_evals,aime_last_line_numeric,insufficient_power,crash_pct,real,0,7,0.000000,ok
inspect_evals,aime_last_line_numeric,insufficient_power,swallowed_error_pct,real,,,,not_measured
inspect_evals,aime_last_line_numeric,insufficient_power,accidental_correct_pct,real,0,7,0.000000,ok
inspect_evals,aime_last_line_numeric,insufficient_power,answer_is_numeric_pct,real,0,0,,not_applicable
inspect_evals,aime_last_line_numeric,insufficient_power,answer_returned_after_truncation_pct,real_pre_answer,,,,not_measured
inspect_evals,aime_last_line_numeric,insufficient_power,crash_pct,real_pre_answer,0,0,,not_applicable
inspect_evals,aime_last_line_numeric,insufficient_power,swallowed_error_pct,real_pre_answer,,,,not_measured
inspect_evals,aime_last_line_numeric,insufficient_power,accidental_correct_pct,real_pre_answer,0,0,,not_applicable
inspect_evals,aime_last_line_numeric,insufficient_power,answer_is_numeric_pct,real_pre_answer,,,,not_measured
inspect_evals,aime_last_line_numeric,insufficient_power,answer_returned_after_truncation_pct,real_no_pre_answer,0,7,0.000000,ok
inspect_evals,aime_last_line_numeric,insufficient_power,crash_pct,real_no_pre_answer,0,7,0.000000,ok
inspect_evals,aime_last_line_numeric,insufficient_power,swallowed_error_pct,real_no_pre_answer,,,,not_measured
inspect_evals,aime_last_line_numeric,insufficient_power,accidental_correct_pct,real_no_pre_answer,0,7,0.000000,ok
inspect_evals,aime_last_line_numeric,insufficient_power,answer_is_numeric_pct,real_no_pre_answer,0,0,,not_applicable
inspect_evals,aime_last_line_numeric,insufficient_power,answer_returned_after_truncation_pct,synthetic,40,100,40.000000,ok
inspect_evals,aime_last_line_numeric,insufficient_power,crash_pct,synthetic,0,100,0.000000,ok
inspect_evals,aime_last_line_numeric,insufficient_power,swallowed_error_pct,synthetic,,,,not_measured
